Study,Run,vconst_corr,vconst_2,vconst_3,vconst_4,vconst_5,class
1,80,0.64,0.97,0.82,0.56,0.78,Exito
1,81,0.24,0.18,0.29,0.40,0.49,Exito
1,82,0.81,0.07,0.31,0.14,0.03,Exito
1,83,0.67,0.73,0.95,0.27,0.82,Exito
1,84,0.58,0.51,0.22,0.56,0.69,Exito
1,85,0.98,0.60,0.31,0.98,0.28,Fracaso
1,86,0.47,0.98,0.26,0.01,0.55,Fracaso
1,87,0.51,0.57,0.01,0.35,0.90,Exito
1,88,0.48,0.92,0.57,0.47,0.11,Exito
1,89,0.55,0.99,0.38,0.60,0.13,Exito
1,90,0.63,0.01,0.58,0.75,0.32,Exito
1,91,0.69,0.06,0.70,0.47,0.87,Exito
1,92,0.92,0.31,0.62,0.39,0.44,Exito
1,93,0.97,0.69,0.53,0.08,0.10,Fracaso
1,94,0.00,0.94,0.77,0.79,0.35,Exito
1,95,0.77,0.86,0.10,0.10,0.51,Fracaso
1,96,0.84,0.13,0.59,0.64,0.71,Exito
1,97,0.38,0.95,0.09,0.92,0.20,Exito
1,98,0.98,0.14,0.95,0.09,0.02,Exito
1,99,0.95,0.27,0.28,0.63,0.86,Exito
1,100,0.56,0.21,0.69,0.15,0.13,Exito
1,101,0.09,0.08,0.06,0.44,0.33,Exito
1,102,0.59,0.53,0.74,0.95,0.41,Exito
1,103,0.01,0.43,1.00,0.11,0.67,Exito
1,104,0.05,0.05,0.76,0.66,0.77,Exito
1,105,0.08,0.71,0.88,0.12,0.91,Exito
1,106,0.29,0.47,0.21,0.45,0.52,Exito
1,107,0.07,0.12,0.19,0.19,0.12,Exito
1,108,0.38,0.38,0.41,0.90,0.70,Exito
1,109,0.92,0.89,0.81,0.76,0.69,Fracaso
1,110,0.34,0.85,0.72,0.13,0.31,Exito
1,111,0.52,0.02,0.92,0.73,0.59,Exito
1,112,0.56,0.71,0.58,0.01,0.95,Exito
1,113,0.43,0.26,0.76,0.21,0.96,Exito
1,114,0.32,0.81,0.44,0.05,0.57,Exito
1,115,0.87,0.91,0.77,0.70,0.34,Fracaso
1,116,0.90,0.40,0.22,0.14,0.71,Exito
1,117,0.99,0.61,0.20,0.23,0.05,Fracaso
1,118,0.70,0.83,0.45,0.24,0.75,Exito
1,119,0.75,0.23,0.00,0.07,0.50,Exito
1,120,0.78,0.36,0.12,0.67,0.16,Exito
1,121,0.10,0.91,0.84,0.28,0.05,Exito
1,122,0.25,0.25,0.64,0.51,0.53,Exito
1,123,0.18,0.40,0.42,0.60,0.91,Exito
1,124,0.37,0.31,0.61,0.40,0.18,Exito
1,125,0.76,0.75,0.09,0.93,0.73,Exito
1,126,0.94,0.53,0.19,0.75,0.85,Exito
1,127,0.82,0.68,0.32,0.47,0.35,Exito
1,128,0.46,0.32,0.67,0.34,0.66,Exito
1,129,0.95,0.19,0.40,0.56,0.64,Exito
1,130,0.93,0.34,0.79,0.87,0.88,Exito
1,131,0.45,0.99,0.82,0.59,0.54,Exito
1,132,0.08,0.80,0.50,0.31,0.30,Exito
1,133,0.23,0.09,0.92,0.96,0.49,Exito
1,134,0.70,0.75,0.13,0.90,0.37,Fracaso
1,135,0.21,0.57,0.02,0.57,0.68,Exito
1,136,0.83,0.18,0.71,0.59,0.41,Exito
1,137,0.57,0.72,0.98,0.88,0.00,Exito
1,138,0.14,0.57,0.65,0.63,0.76,Exito
1,139,0.85,0.58,0.16,0.82,0.37,Exito
1,140,0.62,0.65,0.72,0.21,0.16,Exito
1,141,0.51,0.67,0.54,0.27,0.26,Exito
1,142,0.65,0.17,0.13,0.41,0.07,Exito
1,143,0.75,0.06,0.88,0.03,0.95,Exito
1,144,0.42,0.41,0.85,0.49,0.03,Exito
1,145,0.19,0.48,0.34,0.41,0.18,Exito
1,146,0.21,0.32,0.62,0.01,0.47,Exito
1,147,0.04,0.88,0.11,0.22,0.37,Exito
1,148,0.35,0.34,0.12,0.10,0.70,Exito
1,149,0.72,0.59,0.74,0.48,0.26,Exito
1,150,0.34,0.39,0.89,0.32,0.44,Exito
1,151,0.21,0.08,0.18,0.62,0.09,Exito
1,152,0.26,0.07,0.45,0.50,0.18,Exito
1,153,0.57,0.89,0.21,0.21,0.79,Exito
1,154,0.87,0.96,0.51,0.17,0.45,Fracaso
1,155,0.74,0.66,0.48,0.73,0.98,Fracaso
1,156,0.66,0.64,0.37,0.46,0.56,Exito
1,157,0.32,0.78,0.49,0.74,0.31,Exito
1,158,0.14,0.62,0.97,0.24,0.94,Exito
1,159,0.10,0.50,0.85,0.16,0.28,Exito
1,160,0.71,0.08,0.40,0.65,0.92,Exito
1,161,0.39,0.16,0.04,0.54,0.09,Exito
1,162,0.09,0.69,0.15,0.35,0.52,Exito
1,163,0.06,0.21,0.11,0.57,0.48,Exito
1,164,0.85,0.48,0.68,0.66,0.60,Fracaso
1,165,0.23,0.11,0.23,0.52,0.83,Exito
1,166,0.54,0.48,0.47,0.20,0.01,Exito
1,167,0.33,0.19,0.83,0.44,0.08,Exito
1,168,0.99,0.66,0.87,0.71,0.22,Exito
1,169,0.89,0.84,0.30,0.95,0.89,Fracaso
1,170,0.28,0.15,0.84,0.77,0.97,Exito
1,171,0.02,0.49,0.65,0.22,0.59,Exito
1,172,0.44,0.86,0.08,0.55,0.25,Exito
1,173,0.82,0.30,0.69,0.99,0.21,Exito
1,174,0.22,0.77,0.37,0.86,0.75,Exito
1,175,0.73,0.44,0.90,0.37,0.62,Exito
1,176,0.76,0.14,0.46,0.85,0.81,Exito
1,177,0.63,0.82,0.16,0.48,0.76,Fracaso
1,178,0.15,0.70,0.24,0.78,0.88,Exito
1,179,0.19,0.04,0.32,0.45,0.07,Exito
1,180,0.12,0.00,0.26,0.94,0.51,Exito
2,1,0.35,0.25,0.83,0.10,0.64,Exito
2,2,0.16,0.31,0.03,0.27,0.35,Exito
2,3,0.67,0.96,0.38,0.89,0.41,Exito
2,4,0.90,0.87,0.67,0.21,0.47,Fracaso
2,5,0.10,0.75,0.67,0.70,0.25,Exito
2,6,0.29,0.59,0.14,0.13,0.29,Exito
2,7,0.66,0.91,0.60,0.57,0.69,Exito
2,8,0.18,0.49,0.71,1.00,0.84,Exito
2,9,0.80,0.72,0.34,0.36,0.78,Exito
2,10,0.27,0.08,0.48,0.23,0.83,Exito
2,11,0.20,0.90,0.85,0.82,0.07,Exito
2,12,0.14,0.30,0.07,0.77,0.35,Exito
2,13,0.82,0.93,0.64,0.77,0.07,Exito
2,14,0.02,0.86,0.87,0.78,0.46,Exito
2,15,0.64,0.65,0.74,0.90,0.42,Exito
2,16,0.88,0.68,0.32,0.35,0.20,Fracaso
2,17,0.76,0.70,0.78,0.80,0.44,Exito
2,18,0.98,0.42,0.26,0.44,0.19,Exito
2,19,0.06,0.37,0.24,0.24,0.84,Exito
2,20,0.05,0.67,0.96,0.45,0.19,Exito
2,21,0.33,0.51,0.24,0.63,0.62,Exito
2,22,0.63,0.94,0.95,0.30,0.54,Exito
2,23,0.60,0.03,0.58,0.66,0.05,Exito
2,24,0.89,0.34,0.27,0.15,0.61,Exito
2,25,0.66,0.71,0.64,0.60,0.55,Exito
2,26,0.74,0.88,0.39,0.06,0.12,Fracaso
2,27,0.92,0.38,0.58,0.66,0.87,Exito
2,28,0.47,0.41,0.92,0.61,0.74,Exito
2,29,0.94,0.57,0.44,0.20,1.00,Exito
2,30,0.56,0.09,0.16,0.97,0.60,Exito
2,31,0.38,0.04,0.34,0.57,0.52,Exito
2,32,0.75,0.81,0.29,0.96,0.90,Exito
2,33,0.47,0.76,0.23,0.39,0.58,Exito
2,34,0.56,0.35,0.35,0.62,0.86,Exito
2,35,0.56,0.30,0.21,0.94,0.17,Exito
2,36,0.28,0.62,0.90,0.10,0.39,Exito
2,37,0.98,0.98,0.09,0.12,0.93,Fracaso
2,38,0.09,0.57,0.81,0.11,0.57,Exito
2,39,0.62,0.47,0.37,0.33,0.12,Exito
2,40,0.91,0.55,0.83,0.26,0.63,Fracaso
2,41,0.02,0.73,0.46,0.63,0.14,Exito
2,42,0.06,0.60,0.53,0.46,0.36,Exito
2,43,0.92,0.03,0.42,0.43,0.53,Exito
2,44,0.17,0.48,0.49,0.14,0.66,Exito
2,45,0.59,0.22,0.70,0.84,0.03,Exito
2,46,0.71,0.36,0.36,0.90,0.77,Exito
2,47,0.46,0.35,0.30,0.47,0.26,Exito
2,48,0.38,0.82,0.81,0.54,0.41,Exito
2,49,0.84,0.50,0.57,0.18,0.01,Exito
2,50,0.15,0.44,0.76,0.47,0.49,Exito
2,51,0.07,0.16,0.08,0.43,0.24,Exito
2,52,0.87,0.45,0.89,0.01,0.28,Exito
2,53,0.41,0.26,0.55,0.56,0.97,Exito
2,54,0.22,0.43,0.69,0.22,0.66,Exito
2,55,0.95,0.53,0.47,0.67,0.38,Exito
2,56,0.52,0.29,0.98,0.33,0.79,Exito
2,57,0.63,0.25,0.04,0.77,0.26,Exito
2,58,0.88,0.62,0.11,0.98,0.87,Exito
2,59,0.50,0.28,0.52,0.37,0.56,Exito
2,60,0.42,0.84,0.74,0.06,0.01,Exito
2,61,0.51,0.66,0.47,0.81,0.81,Exito
2,62,0.49,0.54,0.71,0.71,0.27,Exito
2,63,0.80,0.58,0.31,0.48,0.10,Exito
2,64,0.03,0.77,0.50,0.65,0.05,Exito
2,65,0.50,0.22,0.17,0.63,0.41,Exito
2,66,0.02,0.23,0.14,0.78,0.75,Exito
2,67,0.45,0.10,0.22,0.25,0.96,Exito
2,68,0.23,0.90,0.69,0.32,0.79,Exito
2,69,0.51,0.12,0.40,0.94,0.82,Exito
2,70,0.10,0.41,0.38,0.73,0.56,Exito
2,71,0.39,0.48,0.73,0.79,0.10,Exito
2,72,0.38,0.46,0.54,0.31,0.80,Exito
2,73,0.65,0.75,0.45,0.22,0.32,Exito
2,74,0.21,0.85,0.28,0.85,0.72,Exito
2,75,0.93,0.20,0.68,0.32,0.00,Exito
2,76,0.01,0.23,0.47,0.00,0.99,Exito
2,77,0.61,0.21,0.82,0.55,0.98,Exito
2,78,0.52,0.96,0.53,0.34,0.86,Exito
2,79,0.34,0.01,0.69,0.44,0.51,Exito
2,80,0.26,0.95,0.17,0.95,0.30,Exito
2,81,0.93,0.62,0.50,0.30,0.16,Exito
2,82,0.69,0.33,0.98,0.16,0.90,Exito
2,83,0.25,0.74,0.66,0.99,0.15,Exito
2,84,0.04,0.99,0.59,0.59,0.86,Exito
2,85,0.57,0.15,0.05,0.55,0.52,Exito
2,86,0.22,0.86,0.90,0.04,0.65,Exito
2,87,0.12,0.51,0.94,0.86,0.53,Exito
2,88,0.79,0.09,0.18,0.53,0.49,Exito
2,89,0.44,0.18,0.79,0.68,0.84,Exito
2,90,0.60,0.01,0.02,0.50,0.82,Exito
2,91,0.92,0.27,0.75,0.69,0.36,Exito
2,92,0.96,0.74,0.15,0.49,0.31,Fracaso
2,93,0.62,0.19,0.25,0.20,0.94,Exito
2,94,0.13,0.71,0.48,0.17,0.16,Exito
2,95,0.04,0.79,0.10,0.08,0.99,Exito
2,96,0.48,0.03,0.43,0.87,0.13,Exito
2,97,0.27,0.81,0.59,0.03,0.68,Exito
2,98,0.76,0.97,0.05,0.37,0.09,Fracaso
2,99,0.00,0.11,0.72,0.40,0.20,Exito
2,100,0.90,0.68,0.75,0.48,0.93,Exito
2,101,0.73,1.00,0.38,0.41,0.59,Exito
2,102,0.42,0.78,0.13,0.25,0.95,Exito
2,103,0.70,0.57,0.60,0.15,0.37,Exito
2,104,0.40,0.07,0.89,0.69,0.38,Exito
2,105,0.24,0.89,0.61,0.42,0.68,Exito
2,106,0.97,0.26,0.97,0.73,0.44,Exito
2,107,0.34,0.24,0.07,0.74,0.31,Exito
2,108,0.44,0.31,0.91,0.74,0.70,Exito
2,109,0.29,0.00,0.41,0.85,0.91,Exito
2,110,0.43,0.38,0.06,0.07,0.18,Exito
2,111,0.15,0.50,0.85,0.56,0.40,Exito
2,112,0.78,0.89,0.80,0.98,0.21,Fracaso
2,113,0.36,0.56,0.94,0.48,0.73,Exito
2,114,0.35,0.98,0.09,0.81,0.06,Exito
2,115,0.05,0.15,0.63,0.75,0.11,Exito
2,116,0.08,0.20,0.77,0.14,0.02,Fracaso
2,117,0.14,0.66,0.03,0.09,0.25,Exito
2,118,0.54,0.41,0.83,0.24,0.31,Exito
2,119,0.32,0.61,0.32,0.21,0.67,Exito
2,120,0.32,0.72,0.20,0.92,0.88,Exito
2,121,0.18,0.44,0.29,0.08,0.55,Exito
2,122,0.65,0.43,0.43,0.51,0.13,Exito
2,123,0.53,0.82,0.25,0.31,0.62,Exito
2,124,0.09,0.07,0.17,0.35,0.76,Exito
2,125,0.97,0.64,0.66,0.38,0.46,Fracaso
2,126,0.71,0.77,1.00,0.19,0.50,Exito
2,127,0.49,0.38,0.07,0.98,0.83,Exito
2,128,0.85,0.39,0.92,0.96,0.78,Exito
2,129,0.68,0.64,0.11,0.62,0.23,Exito
2,130,0.83,0.87,0.22,0.81,0.94,Exito
2,131,0.08,0.79,0.35,0.29,0.88,Exito
2,132,0.54,0.45,0.84,0.18,0.04,Exito
2,133,0.81,0.36,0.01,0.60,0.18,Exito
2,134,0.82,0.59,0.56,0.27,0.76,Exito
2,135,0.78,0.69,0.00,0.71,0.45,Exito
2,136,0.64,0.63,0.13,0.68,0.08,Fracaso
2,137,0.78,0.07,0.76,0.72,0.95,Exito
2,138,0.74,0.13,0.62,0.83,0.91,Exito
2,139,0.30,0.65,0.21,0.91,0.51,Exito
2,140,0.17,0.55,0.37,0.08,0.72,Exito
2,141,0.28,0.14,0.87,0.58,0.42,Exito
2,142,0.25,0.05,0.88,0.37,0.21,Exito
2,143,0.31,0.23,0.63,0.50,0.69,Exito
2,144,0.85,0.60,0.03,0.01,0.15,Exito
2,145,0.84,0.32,0.66,0.04,0.06,Exito
2,146,0.43,0.98,0.87,0.91,0.33,Exito
2,147,0.99,0.52,0.80,0.84,0.75,Exito
2,148,1.00,0.46,0.79,0.92,0.62,Exito
2,149,0.87,0.69,0.53,0.26,0.39,Exito
2,150,0.55,0.94,0.92,0.05,0.97,Exito
2,151,0.68,0.10,0.26,0.88,0.28,Exito
2,152,0.75,0.34,0.99,0.53,0.50,Exito
2,153,0.86,0.40,0.78,0.86,0.22,Exito
2,154,0.16,0.93,0.31,0.82,0.59,Exito
2,155,0.72,0.16,0.20,0.03,0.43,Exito
2,156,0.69,0.12,0.72,0.59,0.48,Exito
2,157,0.40,0.05,0.99,0.65,0.34,Exito
2,158,0.58,0.54,0.19,0.29,0.60,Exito
2,159,0.95,0.32,0.15,0.17,0.32,Exito
2,160,0.57,0.94,0.41,0.42,0.70,Fracaso
2,161,0.45,0.19,0.86,0.89,0.64,Exito
2,162,0.20,0.91,0.01,0.88,0.89,Exito
2,163,0.13,0.12,0.51,0.75,0.65,Exito
2,164,0.77,0.52,0.30,0.05,0.96,Exito
2,165,0.59,0.78,0.40,0.64,0.14,Exito
2,166,0.24,0.49,0.45,0.51,0.74,Exito
2,167,0.72,0.83,0.64,0.95,0.92,Exito
2,168,0.31,0.84,0.94,0.76,0.71,Exito
2,169,0.19,0.79,0.19,0.40,0.23,Exito
2,170,0.29,0.29,0.56,0.39,0.34,Exito
2,171,0.86,0.02,0.55,0.13,0.03,Exito
2,172,0.21,0.70,0.10,0.28,0.22,Exito
2,173,0.97,0.14,0.12,0.18,0.58,Exito
2,174,0.82,0.80,0.93,0.11,0.46,Exito
2,175,0.37,0.92,0.97,0.45,0.48,Exito
2,176,0.37,0.28,0.52,0.53,0.71,Exito
2,177,0.70,0.17,0.33,0.02,0.29,Exito
2,178,0.12,0.85,0.28,0.93,0.09,Exito
2,179,0.11,0.17,0.61,0.70,0.04,Exito
2,180,0.46,0.06,0.44,0.52,0.80,Exito
3,1,0.81,0.84,0.07,0.59,0.87,Exito
3,2,0.37,0.99,0.17,0.98,0.07,Exito
3,3,0.71,0.79,0.79,0.91,0.86,Exito
3,4,0.97,0.54,0.13,0.85,0.63,Exito
3,5,0.75,0.18,0.43,0.63,0.02,Exito
3,6,0.64,0.72,0.93,0.44,0.38,Fracaso
3,7,0.77,0.04,0.10,0.52,0.51,Exito
3,8,0.05,0.14,0.98,0.78,0.49,Exito
3,9,0.59,0.05,0.07,0.21,0.60,Exito
3,10,0.39,0.55,0.84,0.54,0.61,Exito
3,11,0.65,0.15,0.69,0.98,0.25,Exito
3,12,0.15,0.47,0.53,0.96,0.68,Exito
3,13,0.37,0.65,0.36,0.04,0.11,Exito
3,14,0.45,0.89,0.98,0.49,0.41,Exito
3,15,0.76,0.89,0.49,0.66,0.70,Exito
3,16,0.82,0.48,0.01,0.99,0.31,Exito
3,17,0.95,0.58,0.43,0.33,0.56,Fracaso
3,18,1.00,0.73,0.11,0.18,0.87,Exito
3,19,0.12,0.26,0.78,0.51,0.81,Exito
3,20,0.16,0.70,0.22,0.75,0.79,Exito
3,21,0.67,0.02,0.34,0.38,0.76,Exito
3,22,0.92,0.86,0.49,0.95,0.16,Exito
3,23,0.34,0.76,0.18,0.94,0.67,Exito
3,24,0.19,0.59,0.55,0.20,0.99,Exito
3,25,0.51,0.87,0.91,0.72,0.29,Exito
3,26,0.08,0.85,0.13,0.46,0.27,Exito
3,27,0.62,0.95,0.56,0.65,0.48,Fracaso
3,28,0.49,0.93,0.76,0.87,0.92,Exito
3,29,0.88,0.66,0.66,0.49,0.69,Exito
3,30,0.89,0.36,0.07,0.25,0.24,Exito
3,31,0.72,0.76,0.85,0.05,0.65,Exito
3,32,0.45,0.58,0.20,0.31,0.72,Exito
3,33,0.05,0.37,0.45,0.74,0.47,Exito
3,34,0.88,0.27,0.44,0.00,0.73,Exito
3,35,0.00,0.65,0.46,0.64,0.97,Exito
3,36,0.80,0.05,0.65,0.60,0.06,Exito
3,37,0.83,0.06,0.94,0.29,0.35,Exito
3,38,0.38,0.28,0.21,0.92,0.59,Exito
3,39,0.24,0.77,0.26,0.08,0.95,Exito
3,40,0.48,0.97,0.88,0.74,0.36,Exito
3,41,0.70,0.28,0.25,0.56,0.99,Exito
3,42,0.10,0.57,0.10,0.72,0.42,Exito
3,43,0.35,0.88,0.50,0.11,0.42,Exito
3,44,0.85,0.61,0.83,0.45,0.98,Fracaso
3,45,0.69,0.34,0.82,0.42,0.86,Exito
3,46,0.13,0.95,0.69,0.62,0.44,Exito
3,47,0.97,0.04,0.76,0.24,0.71,Exito
3,48,0.13,0.98,0.05,0.79,0.91,Exito
3,49,0.42,0.02,0.36,0.32,0.60,Exito
3,50,0.44,0.20,0.97,0.82,0.21,Exito
3,51,0.74,0.38,0.42,0.71,0.32,Exito
3,52,0.23,0.90,0.30,0.13,0.59,Exito
3,53,0.83,0.09,0.88,0.32,0.13,Exito
3,54,0.14,0.91,0.03,0.24,0.17,Exito
3,55,0.93,0.47,0.39,0.82,0.44,Exito
3,56,0.35,0.01,0.33,0.39,0.22,Exito
3,57,0.25,0.38,0.27,0.03,0.84,Exito
3,58,0.91,0.54,0.57,0.38,0.21,Exito
3,59,0.49,0.81,0.61,0.06,0.74,Exito
3,60,0.56,0.96,0.04,0.23,0.28,Fracaso
3,61,0.11,0.69,0.40,0.86,0.89,Exito
3,62,0.69,0.48,0.63,0.40,0.82,Exito
3,63,0.33,0.21,0.47,0.29,0.76,Exito
3,64,0.57,0.40,0.45,0.93,0.96,Exito
3,65,0.96,0.34,0.89,0.26,0.93,Exito
3,66,0.95,0.80,0.48,0.12,0.18,Exito
3,67,0.11,0.33,0.91,0.10,0.07,Exito
3,68,0.52,0.44,0.24,0.13,0.13,Exito
3,69,0.47,0.26,0.29,0.81,0.56,Exito
3,70,0.28,0.16,0.18,0.25,0.22,Exito
3,71,0.03,0.99,0.60,0.08,0.45,Exito
3,72,0.03,0.53,0.50,0.90,0.48,Exito
3,73,0.78,0.83,0.41,0.83,0.37,Fracaso
3,74,0.83,0.67,0.09,0.69,0.29,Exito
3,75,0.73,0.10,0.57,0.84,0.85,Exito
3,76,0.71,0.75,0.99,0.09,0.05,Exito
3,77,0.41,0.10,0.26,0.50,0.03,Exito
3,78,0.40,0.19,0.91,0.99,0.10,Exito
3,79,0.86,0.13,0.54,0.19,0.45,Exito
3,80,0.28,0.40,0.63,0.16,0.35,Exito
3,81,0.90,0.85,0.62,0.90,0.71,Exito
3,82,0.52,0.50,0.95,0.02,0.38,Exito
3,83,0.26,0.52,0.32,0.47,0.25,Exito
3,84,0.54,0.22,0.31,0.48,0.43,Exito
3,85,0.70,0.46,0.05,0.21,0.24,Exito
3,86,0.67,0.74,0.86,0.17,0.58,Exito
3,87,0.92,0.57,0.82,0.79,0.54,Exito
3,88,0.85,1.00,0.58,0.68,0.53,Fracaso
3,89,0.16,0.50,0.66,0.43,0.94,Exito
3,90,0.32,0.74,0.65,0.54,0.42,Exito
3,91,0.20,0.11,0.70,0.45,0.99,Exito
3,92,0.72,0.63,0.90,0.33,0.20,Exito
3,93,0.18,0.19,0.74,0.28,0.19,Exito
3,94,0.50,0.39,0.37,0.89,0.33,Exito
3,95,0.79,0.69,0.29,0.51,0.66,Exito
3,96,0.26,0.64,0.04,0.41,0.67,Exito
3,97,0.94,0.75,0.70,0.97,0.64,Fracaso
3,98,0.80,0.36,0.12,0.58,0.32,Exito
3,99,0.40,0.44,0.81,0.12,0.83,Exito
3,100,0.21,0.16,0.64,0.93,0.90,Exito
3,101,0.02,0.60,0.06,0.15,0.37,Exito
3,102,0.62,0.33,0.72,0.67,0.66,Exito
3,103,0.67,0.36,0.75,0.31,0.03,Exito
3,104,0.07,0.31,0.02,0.56,0.75,Exito
3,105,0.76,0.57,0.81,0.50,0.08,Exito
3,106,0.26,0.80,0.21,0.81,0.55,Exito
3,107,0.31,0.01,0.14,0.27,0.10,Exito
3,108,0.04,0.00,0.42,0.74,0.77,Exito
3,109,0.55,0.21,0.35,0.48,0.93,Exito
3,110,0.17,0.43,0.28,0.53,0.23,Exito
3,111,0.90,0.24,0.15,0.67,0.20,Exito
3,112,0.08,0.29,0.47,0.36,0.69,Exito
3,113,0.98,0.56,0.48,0.53,0.76,Exito
3,114,0.34,0.39,0.20,0.87,0.28,Exito
3,115,0.01,0.17,0.72,0.89,0.27,Exito
3,116,0.87,0.30,0.19,0.01,0.52,Exito
3,117,0.60,0.82,0.39,0.35,0.94,Exito
3,118,0.22,0.94,0.32,0.36,0.39,Exito
3,119,0.46,0.08,0.52,0.19,0.63,Exito
3,120,0.74,0.62,0.96,0.05,0.95,Fracaso
3,121,0.56,0.55,0.93,0.73,0.65,Exito
3,122,0.81,0.30,0.71,0.10,0.18,Exito
3,123,0.46,0.91,0.15,0.88,0.83,Exito
3,124,0.21,0.06,0.80,0.70,0.40,Exito
3,125,0.10,0.60,0.87,0.76,0.09,Exito
3,126,0.43,0.83,0.58,0.84,0.12,Exito
3,127,0.88,0.31,0.81,0.03,0.83,Exito
3,128,0.20,0.51,0.34,0.76,0.73,Exito
3,129,0.28,0.41,0.78,0.97,0.61,Exito
3,130,0.13,0.72,0.73,0.14,0.51,Exito
3,131,0.22,0.07,0.95,0.43,0.81,Exito
3,132,0.54,0.41,0.77,0.78,0.46,Exito
3,133,0.99,0.23,0.24,0.60,0.62,Exito
3,134,0.30,0.61,0.55,0.57,0.01,Exito
